Lieferant;Artikel-Nummer;Artikel;Menge;Einheit;matched_material;matched_category;similarity_score;matched_oeko_unit;calculated_co2e_a1_a3;calculated_co2e_a4;total_co2e;calculation_status
BayWa AG;1363312;EXTE BETON-SCHLANGE O.NOPPEN BS 35-80;1062.5;kg;Mineralwolle-Dämmstoff im mittleren Rohdichtebereich;'Dämmstoffe' / 'Mineralwolle' / 'Mineralwolle';0.0853;m3;1283.5126;85.0;1368.5126;Success: m³ unit
BayWa AG;1490796;EXTE BETON-SCHLANGE M.NOPPEN BSN 25-80;1006.72;kg;Schnittholz Eiche (generisch, 12% Feuchte/10.7% H2O);'Holz' / 'Vollholz' / 'Bau-Schnittholz';0.0902;m3;0.0;80.5376;80.5376;Success: m³ unit
Sülzle Stahlpartner GmbH;Q636;Baustahlgewebematte  Q 636 A;396.0;kg;Beton C30/37 XC4 XF1 XA1 F3 16 M ECOPact, Rezept Nummer DA5234-DSZS Version 1, Transportbetonwerk Lüdenscheid-Freisenberg, Germany;'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Beton';0.0902;m3;29.0057;31.68;60.6857;Success: m³ unit
Sülzle Stahlpartner GmbH;Q188;Baustahlgewebematte  Q 188 A;334.0;kg;Sika® ViscoCrete®-6720;'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Betonzusatzmittel';0.0859;kg;124.2697;26.72;150.9897;Success: kg unit
Stark Deutschland GmbH;528690;Europalette EUR 1 120 x 80 x 14,4 cm;300.0;kg;Produkte auf Basis Polyurethan oder silanmodifiziertem Polymer, Gruppe 4;'Beschichtungen' / 'Reaktionsharze' / 'Reaktionsharze auf PU-Basis';0.0987;kg;1906.5;24.0;1930.5;Success: kg unit
BayWa AG;1918766;RAVATHERM XPS-DAEMMPLATTE 300 SL, ALLSEITIG STUFENFALZ,;283.5;kg;Betonpflastersteine/-platten;'Mineralische Baustoffe' / 'Steine und Elemente' / 'Betonfertigteile und Betonwaren';0.0959;qm;0.0;22.68;22.68;Error: Unit 'qm' not supported
Berger Bau- und Industriebedarf GmbH;36400;"Spannstab \""Dywidag\""  D 15mm \/ Länge 2.500mm";252.0;kg;Automatic Revolving Door KTV A;'Komponenten von Fenstern und Vorhangfassaden' / 'Türen und Tore' / 'Aluminium';0.1026;qm;0.0;20.16;20.16;Error: Unit 'qm' not supported
Peikko Deutschland GmbH;15210000;PSB Modified, PSB-12/175-3/390(65/130/130/65);220.0;kg;Mehrschichtparkett (Parador GmbH);'Holz' / 'Holzböden' / 'Parkett';0.084;qm;0.0;17.6;17.6;Error: Unit 'qm' not supported
BayWa AG;304604;PALETTE-EUROPOOL *(10,00 EUR);180.0;kg;Bewehrungsstahl;'Metalle' / 'Stahl und Eisen' / 'Betonstahlmatten';0.0815;kg;115.6028;14.4;130.0028;Success: kg unit
BayWa AG;1918766;RAVATH. XPS 300 SL 1265X615X100 SF;157.5;kg;Metalldeckenmembranen (0,5 mm, ohne akustische Füllung);'Metalle' / 'Stahl und Eisen' / 'Stahlbleche';0.0778;qm;0.0;12.6;12.6;Error: Unit 'qm' not supported
Berger Bau- und Industriebedarf GmbH;751705;Schwindrohr SR 9 (88mm);132.0;kg;Beton C25/30 XC4 XF1 XA1 F3 16 M ECOPact, Rezept Nummer DA4234-DHFS Version 1, Transportbetonwerk Plettenberg, Germany;'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Beton';0.0945;m3;9.2797;10.56;19.8397;Success: m³ unit
Stark Deutschland GmbH;138877;Geficell PE Betondeckbahn 8 mm !Z L=50 m x B=1,5 m = 75 qm/Ro;110.0;kg;Halbzeug - EMERUS d.o.o. -  EMERUS ultra low-carbon Aluminium profile (unbehandelt);'Metalle' / 'Aluminium' / 'Aluminiumprofil';0.0757;kg;4583810.0;8.8;4583818.8;Success: kg unit
Peikko Deutschland GmbH;10795000;PSB double modified® PSB Double Modified, 20/335 ID9d3;96.0;kg;LCA 50W 350-1050mA one4all lp PRE;'Gebäudetechnik' / 'Elektro' / 'Beleuchtung';0.0816;pcs.;0.0;7.68;7.68;Error: Unit 'pcs.' not supported
Stark Deutschland GmbH;208055;PE Kabelschutzrohr a. gewellt schwarz OD 110 mm RB=50 m SD m. Mu. o. DR;82.5;kg;Türschließer der Serien BTS 80, BTS 80 EMB, RTS 80 EMB;'Komponenten von Fenstern und Vorhangfassaden' / 'Beschläge' / 'Befestigungen';0.0861;pcs.;0.0;6.6;6.6;Error: GWP missing
Stark Deutschland GmbH;528690;EUR 1 Europalette 120 x 80 cm;75.0;kg;Brettschichtholz Nadelholz (generisch);'Holz' / 'Vollholz' / 'Brettschichtholz (BSH)';0.084;m3;0.0;6.0;6.0;Success: m³ unit
Stark Deutschland GmbH;222504;Beton Bodenteil 1a/KG Di=450 mm Abgang DN 150 mm mit KG-Muffe;75.0;kg;Ytong Porenbeton 2.5/0.40 RO;'Mineralische Baustoffe' / 'Steine und Elemente' / 'Porenbeton';0.0731;m3;33.6809;6.0;39.6809;Success: m³ unit
BayWa AG;163935;PE-Silofolie Coex3 150µ 6x25m s/w;63.45;kg;Beton C20/25 XC1 XC2 F3 16 M ECOPact, Rezept Nummer DI3234-BNMK Version 1, Transportbetonwerk Saarbrücken-Dudweiler, Germany;'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Beton';0.0837;m3;3.9057;5.076;8.9817;Success: m³ unit
Stark Deutschland GmbH;492952;Mehrzweck-Dämmpl. EPS 035 DEO/WAB 1000x500 mm 20 mm >100 kPa;44.16;kg;Aluminium Profil;'Metalle' / 'Aluminium' / 'Aluminiumprofil';0.085;kg;481.2083;3.5328;484.7411;Success: kg unit
Stark Deutschland GmbH;1179593;RAW/VOTEC PP Geotextil 155 g/qm GRK3 2 x 100 m, mechanisch verfestigt (HPQ)  >> VOTEC wird RAW << Qualität, die bleibt. Verlässlichkeit, die überzeugt.;31.0;kg;Digitalzylinder;'Komponenten von Fenstern und Vorhangfassaden' / 'Beschläge' / 'Messingbeschläge';0.0886;pcs.;0.0;2.48;2.48;Error: Unit 'pcs.' not supported
Berger Bau- und Industriebedarf GmbH;36338;PVC Montageplatten 10mm;24.6;kg;CL2 S 6200-840 M600L SG MP LDO;'Gebäudetechnik' / 'Elektro' / 'Beleuchtung';0.093;pcs.;0.0;1.968;1.968;Error: Unit 'pcs.' not supported
Peikko Deutschland GmbH;15211001;PSB Modified, PSB-S-12/175-3/390(65/130/130/65);22.0;kg;PETtherm 50;'Dämmstoffe' / 'Polyethylen' / 'Schaum';0.0924;m3;15.3077;1.76;17.0677;Success: m³ unit
Berger Bau- und Industriebedarf GmbH;36494;Arbeitsfugenband (Siloband) ASF 80\/5, mit AbP;17.5;kg;PURESIGN 150 P MSW ECD ERI WH;'Gebäudetechnik' / 'Elektro' / 'Beleuchtung';0.0859;pcs.;0.0;1.4;1.4;Error: Unit 'pcs.' not supported
Berger Bau- und Industriebedarf GmbH;36331;PVC Montageplatten 3mm;15.7;kg;Vorhangfassade - VFF - Vorhangfassade aus Aluminiumprofilen;'Komponenten von Fenstern und Vorhangfassaden' / 'Fassaden' / 'Sonstige Fassaden';0.1086;qm;0.0;1.256;1.256;Error: Unit 'qm' not supported
Peikko Deutschland GmbH;15210000;PSB Modified, PSB-12/165-2/240(60/120/60);14.0;kg;Glaselemente - LAMILUX Heinrich Strunz GmbH - Flachdach Fenster FE F3 (2025);'Komponenten von Fenstern und Vorhangfassaden' / 'Tageslichtsysteme und Rauch- / Wärmeabzugsanlagen ' / 'Oberlichter';0.0954;qm;0.0;1.12;1.12;Error: Unit 'qm' not supported
Berger Bau- und Industriebedarf GmbH;36333;PVC Montageplatten 5mm;13.0;kg;Vorwand-Spültechnik - Viega - Prevista Dry;'Gebäudetechnik' / 'Sanitär' / 'Armaturen';0.0831;pcs.;0.0;1.04;1.04;Error: Unit 'pcs.' not supported
Berger Bau- und Industriebedarf GmbH;36341;PVC Montageplatten 2mm;11.66;kg;Recycling Transportbeton C20/25;'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Beton';0.0941;m3;1.0948;0.9328;2.0276;Success: m³ unit
Berger Bau- und Industriebedarf GmbH;396045;Planschutztaschen DIN A0, 10er-Pack;11.5;kg;Transparente Platten PC;'Kunststoffe' / 'Kunststoffprofile elastisch' / 'Transparente Platten';0.0914;m3;57.1552;0.92;58.0752;Success: m³ unit
Peikko Deutschland GmbH;15210000;PSB Modified, PSB-12/175-2/260(65/130/65);11.1;kg;Pflasterstein aus 85% FCN-Klimabeton®;'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Beton';0.0778;qm;0.0;0.888;0.888;Error: Unit 'qm' not supported
Adolf Würth GmbH & Co. KG;5929121025961   25;DBL-(W-BS/S)-(A2K)-SW15-5-25-10X80;8.715;kg;Austrotherm Resolution® Fassade;'Dämmstoffe' / 'Phenolharz-Hartschaum (PF)' / 'PF-Platten';0.0912;qm;0.0;0.6972;0.6972;Error: Unit 'qm' not supported
Peikko Deutschland GmbH;15210000;PSB Modified, PSB-12/165-3/390(65/2x130/65);6.48;kg;AL 401 Series Sliding Door Operator;'Komponenten von Fenstern und Vorhangfassaden' / 'Türen und Tore' / 'Aluminium';0.0895;pcs.;0.0;0.5184;0.5184;Error: Unit 'pcs.' not supported
Peikko Deutschland GmbH;15210000;PSB Modified, PSB-12/165-3/360(60/120/120/60);5.25;kg;ArmaPET® Eco50;'Dämmstoffe' / 'Polyethylen' / 'Schaum';0.0863;m3;3.653;0.42;4.073;Success: m³ unit
Stark Deutschland GmbH;597405;PP Bogen 30 Gr. grün OD 200 mm EN 14758-1;5.202;kg;Feuerverzinkte Baustähle: Stahlprofile und Stabstähle;'Metalle' / 'Stahl und Eisen' / 'Stahlprofile';0.0851;kg;4103.3223;0.4162;4103.7385;Success: kg unit
Adolf Würth GmbH & Co. KG;005712 45 005  100;SHR-6KT-DIN933-8.8-SW19-(A2K)-M12X45;4.987;kg;Nadelschnittholz - frisch (Durchschnitt DE);'Holz' / 'Vollholz' / 'Bau-Schnittholz';0.0846;m3;0.0;0.399;0.399;Success: m³ unit
Stark Deutschland GmbH;488220;RAPTOR BigBag - flex. Großsäcke !Z 100x100x100 cm SWL 1500 kg;4.8;kg;TLX S 3800-830 O SL XL EVG;'Gebäudetechnik' / 'Elektro' / 'Beleuchtung';0.1075;pcs.;0.0;0.384;0.384;Error: Unit 'pcs.' not supported
Adolf Würth GmbH & Co. KG;5929126025961  100;DBL-(W-BS/S)-(A2K)-SW13-5-25-6X60;4.076;kg;Mixed-in-Place (MIP) Baustoff der Klasse 520-600;'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Betonzusatzmittel';0.0923;m3;0.4248;0.3261;0.7508;Success: m³ unit
Adolf Würth GmbH & Co. KG;005712 80 005   50;SHR-6KT-DIN933-8.8-SW19-(A2K)-M12X80;3.81;kg;Organisch beschichtetes Stahlband;'Metalle' / 'Stahl und Eisen' / 'Stahlbleche';0.089;kg;9345.2555;0.3048;9345.5603;Success: kg unit
Adolf Würth GmbH & Co. KG;5929128055961   50;BETSHR-(W-BS/S)-(A2K)-SW13-35-55-8X100;2.595;kg;Transparente Platten PMMA, extrudiert;'Kunststoffe' / 'Kunststoffprofile elastisch' / 'Transparente Platten';0.0821;m3;12.8164;0.2076;13.024;Success: m³ unit
Adolf Würth GmbH & Co. KG;005712 100005   25;SHR-6KT-DIN933-8.8-SW19-(A2K)-M12X100;2.288975;kg;TOPIQ  Efficient pro ? Board (Pontarlier);'Mineralische Baustoffe' / 'Steine und Elemente' / 'Deckenplatten';0.0891;qm;0.0;0.1831;0.1831;Error: Unit 'qm' not supported
Peikko Deutschland GmbH;15210000;PSB Modified, PSB-12/165-2/260(65/1x130/65);2.16;kg;Cencon ATM Cash Vault Security System;'Komponenten von Fenstern und Vorhangfassaden' / 'Beschläge' / 'Zinkbeschläge';0.0853;pcs.;0.0;0.1728;0.1728;Error: Unit 'pcs.' not supported
Adolf Würth GmbH & Co. KG;5929126025961  100;BETSHR-(W-BS/S)-(A2K)-SW13-5-25-6X60;2.038;kg;Beton-Flüssigfarbe mit Eisenoxid (REMEI & BPB GmbH & Co. KG);'Mineralische Baustoffe' / 'Pigmente' / 'Anorganische Pigmente';0.0825;kg;2.0998;0.163;2.2629;Success: kg unit
Adolf Würth GmbH & Co. KG;5929126015961  100;DBL-(W-BS/S)-(A2K)-SW13-10-15-6X50;1.9076;kg;Rasterleuchte Deckenintegriert 2x T5-28W (LFL);'Gebäudetechnik' / 'Elektro' / 'Beleuchtung';0.0852;pcs.;0.0;0.1526;0.1526;Error: Unit 'pcs.' not supported
Adolf Würth GmbH & Co. KG;041110 40 005  100;SHB-KOTFLG-TOLDIN522-(A2K)-10,5X40X2;1.8608;kg;Bewehrungs- und Befestigungssystem - solidian GmbH - solidian REBAR;'Komposite' / 'Systembauteile' / 'Bewehrung';0.1156;kg;5.0428;0.1489;5.1916;Success: kg unit
Adolf Würth GmbH & Co. KG;041112 40 005  100;SHB-KOTFLG-TOLDIN522-(A2K)-13,0X40X2,0;1.7942;kg;Portlandzement CEM I;'Mineralische Baustoffe' / 'Bindemittel' / 'Zement';0.0804;kg;1193.143;0.1435;1193.2865;Success: kg unit
Adolf Würth GmbH & Co. KG;5929121025961   25;BETSHR-(W-BS/S)-(A2K)-SW15-5-25-10X80;1.7711;kg;Lichtbänder - LAMILUX Heinrich Strunz GmbH - Lichtband B (2025);'Komponenten von Fenstern und Vorhangfassaden' / 'Tageslichtsysteme und Rauch- / Wärmeabzugsanlagen ' / 'Oberlichter';0.0788;qm;0.0;0.1417;0.1417;Error: Unit 'qm' not supported
Adolf Würth GmbH & Co. KG;0648073045961    1;BO-HAM-PLUS-QL-D30,0-L450-AL400MM;0.911;kg;PURESIGN 150 MSC/MRC SP1-E002-D WH;'Gebäudetechnik' / 'Elektro' / 'Beleuchtung';0.1012;pcs.;0.0;0.0729;0.0729;Error: Unit 'pcs.' not supported
Adolf Würth GmbH & Co. KG;0648071016961    2;BO-HAM-PLUS-QL-D10,0-L165-AL100MM;0.459;kg;Schienenauszugsvorrichtung - Oberbau;'Metalle' / 'Stahl und Eisen' / 'Stahlprofile';0.095;kg;1543.9621;0.0367;1543.9988;Success: kg unit
Adolf Würth GmbH & Co. KG;0648078011961    2;BO-HAM-PLUS-QL-D8,0-L115-AL50MM;0.178;kg;Hackschnitzelkessel < 20 kW;'Gebäudetechnik' / 'Heizung' / 'Wärmeerzeuger';0.0935;pcs.;0.0;0.0142;0.0142;Error: Unit 'pcs.' not supported
Stark Deutschland GmbH;1285721;X-FOAM MSP GK, rau 0,033 200 kPa 1250/600/20 mm;0.112;kg;CR Profil (Chloropren-Kautschuk);'Komponenten von Fenstern und Vorhangfassaden' / 'Dichtungskomponenten / -materialien' / 'Dichtprofile';0.094;m;0.0;0.009;0.009;Error: Unit 'm' not supported
Stark Deutschland GmbH;1393751;Federanker 90x103x22x0,7 mm vz, 100 St/Pkt;0.005;kg;PURESIGN 150 MSC/MRC SP2E002D WH;'Gebäudetechnik' / 'Elektro' / 'Beleuchtung';0.0815;pcs.;0.0;0.0004;0.0004;Error: Unit 'pcs.' not supported
BayWa AG;94973;AUSGANGS-FRACHT BAUSTOFFE  ZUSTELLPAUSCHALE;0.0;kg;Flächentemperierung - Viega - Fonterra Zubehör;'Gebäudetechnik' / 'Sanitär' / 'Armaturen';0.09;pcs.;0.0;0.0;0.0;Error: Unit 'pcs.' not supported
BayWa AG;1294809;MAUTGEBUEHR/LOGISTIKZUSCHLAG;0.0;kg;Getuftete Fliesen mit einem Polmaterial aus Polyamid 6, einem maximalen Poleinsatzgewicht von 720 g/m2 und einer EcoFlex Statera Beschichtung;'Kunststoffe' / 'Bodenbeläge' / 'Textile Bodenbeläge';0.0864;qm;0.0;0.0;0.0;Error: Unit 'qm' not supported
BayWa AG;1440591;HAUFF-FZR250/1000-Faserzement-Futterrohr;0.0;kg;PERLUCE O LED4600-830 L1520 EVG IP50 WH;'Gebäudetechnik' / 'Elektro' / 'Beleuchtung';0.0852;pcs.;0.0;0.0;0.0;Error: Unit 'pcs.' not supported
BayWa AG;94969;KRANGEBÜHR BAUSTOFFE PRO HUB;0.0;kg;Flüssiggastank 4850 l/2,1 t (unterirdisch);'Gebäudetechnik' / 'Heizung' / 'Speicher';0.1043;pcs.;0.0;0.0;0.0;Error: Unit 'pcs.' not supported
Stark Deutschland GmbH;3000722;Entladung ebenerdig je Hub;0.0;kg;Therma? TW56;'Dämmstoffe' / 'Polyurethan-Hartschaum (PU)' / 'PU mit Aluminium';0.0868;qm;0.0;0.0;0.0;Error: Unit 'qm' not supported
Berger Bau- und Industriebedarf GmbH;34999-SF;Frank Stremaform Arbeitsfugenabstellung Standardelement;0.0;kg;Folientapes;'Beschichtungen' / 'Innenbeschichtungen' / 'Dispersionsklebstoffe';0.0921;qm;0.0;0.0;0.0;Error: Unit 'qm' not supported
Berger Bau- und Industriebedarf GmbH;97104-SA;Versand- \/ Vorfrachtkosten;0.0;kg;Longlife-Parkett;'Holz' / 'Holzböden' / 'Parkett';0.0997;qm;0.0;0.0;0.0;Error: Unit 'qm' not supported
BayWa AG;94973;AUSGANGS-FRACHT BAUSTOFFE;0.0;kg;Beton C20/25 XC1 XC2 F3 16 M ECOPact, Rezept Nummer DI3234-BHFS Version 1, Transportbetonwerk Plettenberg, Germany;'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Beton';0.0903;m3;0.0;0.0;0.0;Success: m³ unit
Sülzle Stahlpartner GmbH;ZL43;Biegegruppe  I;191320.0;Stk;Fenster - TMP Fenster+Türen GmbH - Fenstertüren aus Kunststoff;'Komponenten von Fenstern und Vorhangfassaden' / 'Fenster' / 'Kunststofffenster';0.0812;qm;0.0;15305.6;15305.6;Error: Unit 'qm' not supported
Sülzle Stahlpartner GmbH;B410;Betonstahl B 500 B  10,00 mm;156866.0;kg;Getuftete Teppichbahnenware mit PA6 Polmaterial und textilem Rücken, LC4;'Kunststoffe' / 'Bodenbeläge' / 'Textile Bodenbeläge';0.084;qm;0.0;12549.28;12549.28;Error: Unit 'qm' not supported
Sülzle Stahlpartner GmbH;Q335;Baustahlgewebematte  Q 335 A;148347.0;kg;Betonfertigteil Wand, Dicke 12cm;'Mineralische Baustoffe' / 'Steine und Elemente' / 'Betonfertigteile und Betonwaren';0.0958;qm;0.0;11867.76;11867.76;Error: Unit 'qm' not supported
Sülzle Stahlpartner GmbH;B414;Betonstahl B 500 B  14,00 mm;137484.0;kg;Isospan 2 GaBi Holzbetonmantelsteine mit EPS-Dämmung Expert 43/15 ohne Füllbeton;'Mineralische Baustoffe' / 'Steine und Elemente' / 'Betonfertigteile und Betonwaren';0.0853;qm;0.0;10998.72;10998.72;Error: Unit 'qm' not supported
Sülzle Stahlpartner GmbH;ZL63;Matten schneiden;108399.0;kg;Fenster - Solarlux GmbH - Ganzglassystem System (SL23) Proline S mega;'Komponenten von Fenstern und Vorhangfassaden' / 'Fenster' / 'Metallfenster';0.086;qm;0.0;8671.92;8671.92;Error: Unit 'qm' not supported
Sülzle Stahlpartner GmbH;B412;Betonstahl B 500 B  12,00 mm;106451.0;kg;RAVATHERM? XPS (X) Isolierung aus extrudiertem Polystyrolschaum mit halogenfreiem Treibmittel;'Dämmstoffe' / 'Extrudiertes Polystyrol (XPS)' / 'XPS weiß';0.0777;m3;290386.4218;8516.08;298902.5018;Success: m³ unit
Sülzle Stahlpartner GmbH;B408;Betonstahl BST 500 A/B  8,00 mm;92432.0;kg;Splittmastixasphalt (SMA);'Mineralische Baustoffe' / 'Asphalt' / 'Splittmastixasphalt';0.0922;kg;8485.1782;7394.56;15879.7382;Success: kg unit
Sülzle Stahlpartner GmbH;B416;Betonstahl B 500 B  16,00 mm;75218.0;kg;Halbzeuge - EMERUS d.o.o. - Elektrostatisch pulverbeschichtetes Aluminiumprofil;'Metalle' / 'Aluminium' / 'Aluminiumprofil';0.0844;kg;616787.6;6017.44;622805.04;Success: kg unit
Sülzle Stahlpartner GmbH;B420;Betonstahl B 500 B  20,00 mm;48218.0;kg;Holcim Duo 4 N Siloware Werk Bremen;'Mineralische Baustoffe' / 'Bindemittel' / 'Zement';0.0926;kg;21956969.161;3857.44;21960826.601;Success: kg unit
Sülzle Stahlpartner GmbH;Q524;Baustahlgewebematte  Q 524 A;38658.0;kg;Sicherheits-Drehtür Geryon K9;'Komponenten von Fenstern und Vorhangfassaden' / 'Türen und Tore' / 'Aluminium';0.0873;pcs.;0.0;3092.64;3092.64;Error: Unit 'pcs.' not supported
Sülzle Stahlpartner GmbH;B425;Betonstahl B 500 B  25,00 mm;28158.0;kg;blaugelb Bankanschlussprofil EPS;'Dämmstoffe' / 'Expandiertes Polystyrol (EPS)' / 'EPS grau';0.0993;m3;126320.0222;2252.64;128572.6622;Success: m³ unit
Sülzle Stahlpartner GmbH;Q257;Baustahlgewebematte  Q 257 A;14614.0;kg;Therma? TW58;'Dämmstoffe' / 'Polyurethan-Hartschaum (PU)' / 'PU mit Aluminium';0.0866;qm;0.0;1169.12;1169.12;Error: Unit 'qm' not supported
