Lieferant;Artikel-Nummer;Artikel;Menge;Einheit;matched_material;matched_category;similarity_score;matched_oeko_unit;calculated_co2e_a1_a3;calculated_co2e_a4;total_co2e;calculation_status
Sülzle Stahlpartner GmbH;B414;Betonstahl B 500 B  14,00 mm;137484.0;kg;Dune Max Deckenplatten;'Mineralische Baustoffe' / 'Steine und Elemente' / 'Deckenplatten';0.0874;qm;422360.4324;10998.72;433359.1524;Success: Converted: 137484.0 m² × 0.15m = 20622.600 m³
Sülzle Stahlpartner GmbH;ZL63;Matten schneiden;108399.0;kg;Putzmörtel-Armierungsputz;'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Putz und Putzmörtel';0.0883;kg;44009.994;8671.92;52681.914;Success: kg unit
Sülzle Stahlpartner GmbH;B412;Betonstahl B 500 B  12,00 mm;106451.0;kg;Pfosten/Riegel System aus Aluminium mit Dreifachverglasung;'Komponenten von Fenstern und Vorhangfassaden' / 'Rahmen / Profile' / 'Aluminium thermisch getrennt';0.0986;qm;1981595.8925;8516.08;1990111.9725;Success: Converted: 106451.0 m² × 0.15m = 15967.650 m³
Sülzle Stahlpartner GmbH;B408;Betonstahl BST 500 A/B  8,00 mm;92432.0;kg;CL2 S 4600-840 M600Q SG MP LDO;'Gebäudetechnik' / 'Elektro' / 'Beleuchtung';0.0779;pcs.;2851121.8173;7394.56;2858516.3773;Success: Converted: 92432.0 pcs × 1.000 kg/pc = 92432.00 kg
Sülzle Stahlpartner GmbH;B416;Betonstahl B 500 B  16,00 mm;75218.0;kg;Abwasserrohr PVC;'Kunststoffe' / 'Rohre' / 'Abwasserrohre';0.0849;kg;207590.883;6017.44;213608.323;Success: kg unit
Sülzle Stahlpartner GmbH;B420;Betonstahl B 500 B  20,00 mm;48218.0;kg;Warmgewalzter Stahlknüppel;'Metalle' / 'Stahl und Eisen' / 'Stahlprofile';0.0869;kg;127190186.9111;3857.44;127194044.3511;Success: kg unit
Sülzle Stahlpartner GmbH;Q524;Baustahlgewebematte  Q 524 A;38658.0;kg;Türschließer TS 79;'Komponenten von Fenstern und Vorhangfassaden' / 'Antriebssysteme' / 'mechanisch';0.0875;pcs.;3016432.0392;3092.64;3019524.6792;Success: Converted: 38658.0 pcs × 1.000 kg/pc = 38658.00 kg
Sülzle Stahlpartner GmbH;B425;Betonstahl B 500 B  25,00 mm;28158.0;kg;SYNEGO;'Komponenten von Fenstern und Vorhangfassaden' / 'Fenster' / 'Kunststofffenster';0.1119;qm;351012.0034;2252.64;353264.6434;Success: Converted: 28158.0 m² × 0.15m = 4223.700 m³
Sülzle Stahlpartner GmbH;Q257;Baustahlgewebematte  Q 257 A;14614.0;kg;Beton C30/37 XC4 XF1 XA1 F3 16 M EcoPact, Rezept Nummer DA5234-DSFS Version 1, Transportbetonwerk Mainz, Germany;'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Beton';0.0938;m3;2434975.5813;1169.12;2436144.7013;Success: m³ unit
Stark Deutschland GmbH;1040846;RAW Zementmörtel 30 kg/Sa;6300.0;kg;Sandwichelemente mit beidseitiger Deckschicht aus Stahl und einem Kern aus Mineralwolle;'Dämmstoffe' / 'Mineralwolle' / 'Mineralwolle';0.0925;qm;298517.9336;504.0;299021.9336;Success: Converted: 6300.0 m² × 0.01m × 105.0 kg/m³ = 6615.00 kg
Stark Deutschland GmbH;155410;BAUMIT ZementMauermörtel ZM 92 hochbe- lastbar Körn. 0-4 mm grau 35 kg/Sa;5040.0;kg;Kompaktleuchtstofflampe 18W (Vorschaltgerät extern);'Gebäudetechnik' / 'Elektro' / 'Beleuchtung';0.0946;pcs.;1101.7035;403.2;1504.9035;Success: Converted: 5040.0 pcs × 1.000 kg/pc = 5040.00 kg
BayWa AG;1490798;EXTE BETON-SCHLANGE M.NOPPEN BSN 35-80;3593.28;kg;basicDIM DGC;'Gebäudetechnik' / 'Elektro' / 'Beleuchtung';0.0743;pcs.;35080.6182;287.4624;35368.0806;Success: Converted: 3593.28 pcs × 1.000 kg/pc = 3593.28 kg
Sülzle Stahlpartner GmbH;ZL64;Aufpreis Matten schneiden längs;3367.0;kg;UNIQUIN;'Komponenten von Fenstern und Vorhangfassaden' / 'Rahmen / Profile' / 'Aluminium';0.0927;pcs.;633198.02;269.36;633467.38;Success: Converted: 3367.0 pcs × 1.000 kg/pc = 3367.00 kg
Sülzle Stahlpartner GmbH;B428;Betonstahl B 500 B  28,00 mm;3111.0;kg;Recycling Transportbeton C30/37;'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Beton';0.0965;m3;868659.437;248.88;868908.317;Success: m³ unit
BayWa AG;1951412;NEVOGA FASERBETON SCHLANGE MIT NOPPEN 35MM L=80CM;2250.0;kg;EPD Holzdachfenster - Roto Frank DST - RotoQ 3fach-Verglasung;'Komponenten von Fenstern und Vorhangfassaden' / 'Fenster' / 'Holzfenster';0.1083;qm;38562.75;180.0;38742.75;Success: Converted: 2250.0 m² × 0.15m = 337.500 m³
Stark Deutschland GmbH;250773;P&T 2011 EuroGrout Plast 04 Unterstopfmörtel Körn. 0-4 mm 25 kg/Sa;1800.0;kg;Stiferite CLASS SK durchschnittlich dicke Platte;'Dämmstoffe' / 'Polyurethan-Hartschaum (PU)' / 'PIR-Hartschaum';0.0854;qm;5115.474;144.0;5259.474;Success: Converted: 1800.0 m² × 0.01m × 34.7 kg/m³ = 624.60 kg
Stark Deutschland GmbH;1090540;RAW Mauermörtel M5 30 kg/Sa;1260.0;kg;Kippschalter (Lichtschalter);'Gebäudetechnik' / 'Elektro' / 'Schalter und Steckdosen';0.0928;pcs.;554.1478;100.8;654.9478;Success: Converted: 1260.0 pcs × 1.000 kg/pc = 1260.00 kg
Stark Deutschland GmbH;506615;HASIT KOBA Bau- & Fliesenkleber 25 kg/Sa;1200.0;kg;Korkplatten 1m2, 4 mm (generisch);'Holz' / 'Holzböden' / 'Kork';0.0869;qm;0.0;96.0;96.0;Success: Converted: 1200.0 m² × 0.01m = 12.000 m³
BayWa AG;1951404;NEVOGA FASERBE.  SCHLANGE O. NOP. 35-80;1125.0;kg;Designboden Modular ONE Hydron;'Kunststoffe' / 'Bodenbeläge' / 'PVC-Bodenbeläge';0.092;qm;129.375;90.0;219.375;Success: Converted: 1125.0 m² × 0.01m = 11.250 m³
BayWa AG;1363312;EXTE BETON-SCHLANGE O.NOPPEN BS 35-80;1062.5;kg;S Base Fundament für temporäre Gebäude und Konstruktionen (Solidum EST AS);'Metalle' / 'Stahl und Eisen' / 'Stahlprofile';0.0979;pcs.;41074.7601;85.0;41159.7601;Success: Converted: 1062.5 pcs × 1.000 kg/pc = 1062.50 kg
BayWa AG;1490796;EXTE BETON-SCHLANGE M.NOPPEN BSN 25-80;1006.72;kg;Isolierprofil - Ensinger GmbH - Coex-Dichtdraht;'Komponenten von Fenstern und Vorhangfassaden' / 'Dichtungskomponenten / -materialien' / 'Dichtprofile';0.0847;kg;6302.0672;80.5376;6382.6048;Success: kg unit
Sülzle Stahlpartner GmbH;Q636;Baustahlgewebematte  Q 636 A;396.0;kg;Lüfter zentral 30000 m3/h;'Gebäudetechnik' / 'Klimatisierung und Lüftung' / 'Lüftungsanlagen';0.0941;pcs.;334528.1;31.68;334559.78;Success: Converted: 396.0 pcs × 1.000 kg/pc = 396.00 kg
Sülzle Stahlpartner GmbH;Q188;Baustahlgewebematte  Q 188 A;334.0;kg;Sonnenschutz - D&M - Rollladen;'Komponenten von Fenstern und Vorhangfassaden' / 'Zubehör für Fenster, Fassaden, Türen und Tore' / 'Sonnenschutzsysteme';0.1023;qm;197.06;26.72;223.78;Success: Converted: 334.0 m² × 0.01m = 3.340 m³
Stark Deutschland GmbH;528690;Europalette EUR 1 120 x 80 x 14,4 cm;300.0;kg;Holcim Duo 3 N-LH Siloware Werk Schwelgern;'Mineralische Baustoffe' / 'Bindemittel' / 'Zement';0.0946;kg;100443.1961;24.0;100467.1961;Success: kg unit
BayWa AG;1918766;RAVATHERM XPS-DAEMMPLATTE 300 SL, ALLSEITIG STUFENFALZ,;283.5;kg;Beton C25/30 XC4 XF1 XA1 F3 32 M EcoPact, Rezept Nummer DA4334-DHMS Version 1, Transportbetonwerk Münster, Germany;'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Beton';0.0854;m3;42659.0182;22.68;42681.6982;Success: m³ unit
Berger Bau- und Industriebedarf GmbH;36400;"Spannstab \""Dywidag\""  D 15mm \/ Länge 2.500mm";252.0;kg;Expandierter Kork;'Dämmstoffe' / 'Expandierter Kork' / 'Expandierter Kork';0.0963;m3;0.0;20.16;20.16;Success: m³ unit
Peikko Deutschland GmbH;15210000;PSB Modified, PSB-12/175-3/390(65/130/130/65);220.0;kg;Rollladen Kunststoff;'Komponenten von Fenstern und Vorhangfassaden' / 'Füllungen' / 'Opake Füllungen';0.0925;qm;51.1955;17.6;68.7955;Success: Converted: 220.0 m² × 0.01m = 2.200 m³
BayWa AG;304604;PALETTE-EUROPOOL *(10,00 EUR);180.0;kg;Gewebte Teppichfliesen, Polmaterial spinngefärbtes Polyamid 6.0 mit einer TEXtiles Schwerbeschichtung mit Recyclingmaterial, maximales Poleinsatzgewicht 400 g/m²;'Kunststoffe' / 'Bodenbeläge' / 'Textile Bodenbeläge';0.0842;qm;10989.216;14.4;11003.616;Success: Converted: 180.0 m² × 0.01m × 690.0 kg/m³ = 1242.00 kg
BayWa AG;1918766;RAVATH. XPS 300 SL 1265X615X100 SF;157.5;kg;Holcim Pur 4 N Siloware Werk Lägerdorf;'Mineralische Baustoffe' / 'Bindemittel' / 'Zement';0.0972;kg;112759.0633;12.6;112771.6633;Success: kg unit
Berger Bau- und Industriebedarf GmbH;751705;Schwindrohr SR 9 (88mm);132.0;kg;Lichtkuppeln - LAMILUX Heinrich Strunz GmbH - Lichtkuppel F100 PETG (2025);'Komponenten von Fenstern und Vorhangfassaden' / 'Tageslichtsysteme und Rauch- / Wärmeabzugsanlagen ' / 'Oberlichter';0.0786;qm;124.476;10.56;135.036;Success: Converted: 132.0 m² × 0.01m = 1.320 m³
Stark Deutschland GmbH;138877;Geficell PE Betondeckbahn 8 mm !Z L=50 m x B=1,5 m = 75 qm/Ro;110.0;kg;Gewebter Teppichboden, Poleinsatzmaterial max. 800 g/m² PA 6.6, wässriges Färbeverfahren;'Kunststoffe' / 'Bodenbeläge' / 'Textile Bodenbeläge';0.0873;qm;196.35;8.8;205.15;Success: Converted: 110.0 m² × 0.15m = 16.500 m³
Peikko Deutschland GmbH;10795000;PSB double modified® PSB Double Modified, 20/335 ID9d3;96.0;kg;Kooltherm® K8 D Plus;'Dämmstoffe' / 'Phenolharz-Hartschaum (PF)' / 'PF-Platten';0.0981;qm;286.5382;7.68;294.2182;Success: Converted: 96.0 m² × 0.01m × 34.1 kg/m³ = 32.74 kg
Stark Deutschland GmbH;208055;PE Kabelschutzrohr a. gewellt schwarz OD 110 mm RB=50 m SD m. Mu. o. DR;82.5;kg;Transparente Bauelemente - Rodeca GmbH - Lichtbauelement 50mm;'Komponenten von Fenstern und Vorhangfassaden' / 'Füllungen' / 'Transparente Füllungen';0.0856;qm;26.7878;6.6;33.3878;Success: Converted: 82.5 m² × 0.01m = 0.825 m³
Stark Deutschland GmbH;528690;EUR 1 Europalette 120 x 80 cm;75.0;kg;Blendrahmen EDW;'Komponenten von Fenstern und Vorhangfassaden' / 'Dichtungskomponenten / -materialien' / 'Dichtprofile';0.0905;qm;21.5647;6.0;27.5647;Success: Converted: 75.0 m² × 0.01m = 0.750 m³
Stark Deutschland GmbH;222504;Beton Bodenteil 1a/KG Di=450 mm Abgang DN 150 mm mit KG-Muffe;75.0;kg;SAGLAN Glaswolle, phenolharzgebunden +A2;'Dämmstoffe' / 'Mineralwolle' / 'Glaswolle';0.0846;kg;100.8724;6.0;106.8724;Success: kg unit
BayWa AG;163935;PE-Silofolie Coex3 150µ 6x25m s/w;63.45;kg;Transparente Bauelemente - Rodeca GmbH - Lichtbauelement 40 mm;'Komponenten von Fenstern und Vorhangfassaden' / 'Füllungen' / 'Transparente Füllungen';0.0925;qm;9.2732;5.076;14.3492;Success: Converted: 63.45 m² × 0.005m = 0.317 m³
Stark Deutschland GmbH;492952;Mehrzweck-Dämmpl. EPS 035 DEO/WAB 1000x500 mm 20 mm >100 kPa;44.16;kg;Fassaden - Moeding Keramikfassaden GmbH - Alphaton;'Komponenten von Fenstern und Vorhangfassaden' / 'Fassaden' / 'Vorhangfassade - Element-Fassaden';0.0831;qm;19.1919;3.5328;22.7247;Success: Converted: 44.16 m² × 0.01m = 0.442 m³
Stark Deutschland GmbH;1179593;RAW/VOTEC PP Geotextil 155 g/qm GRK3 2 x 100 m, mechanisch verfestigt (HPQ)  >> VOTEC wird RAW << Qualität, die bleibt. Verlässlichkeit, die überzeugt.;31.0;kg;Heradesign Akustikplatten Euroklasse B;'Dämmstoffe' / 'Holzwolleplatten' / 'Holzwolleleichtbauplatten';0.0786;qm;0.0;2.48;2.48;Success: Converted: 31.0 m² × 0.01m = 0.310 m³
Berger Bau- und Industriebedarf GmbH;36338;PVC Montageplatten 10mm;24.6;kg;Remote reader 91 15;'Gebäudetechnik' / 'Elektro' / 'Sicherungs- und Schaltschränke';0.0913;pcs.;76.26;1.968;78.228;Success: Converted: 24.6 pcs × 25.000 kg/pc = 615.00 kg
Peikko Deutschland GmbH;15211001;PSB Modified, PSB-S-12/175-3/390(65/130/130/65);22.0;kg;SLN2-B 1600-930 L1000 PC/PCO/DD LDO E3D;'Gebäudetechnik' / 'Elektro' / 'Beleuchtung';0.0987;pcs.;1620.8734;1.76;1622.6334;Success: Converted: 22.0 pcs × 1.000 kg/pc = 22.00 kg
Berger Bau- und Industriebedarf GmbH;36494;Arbeitsfugenband (Siloband) ASF 80\/5, mit AbP;17.5;kg;Masterlite Pro 100 7.3n, Mix Design ID: Rmblock24 MJH (5) 1 27/09/2024, Pflanze: Carnforth, Großbritannien;'Mineralische Baustoffe' / 'Steine und Elemente' / 'Betonfertigteile und Betonwaren';0.0865;qm;4086.3108;1.4;4087.7108;Success: Converted: 17.5 m² × 0.01m × 1598.3 kg/m³ = 279.70 kg
Berger Bau- und Industriebedarf GmbH;36331;PVC Montageplatten 3mm;15.7;kg;UniSwing Compact / Robust / Fire;'Komponenten von Fenstern und Vorhangfassaden' / 'Antriebssysteme' / 'elektrisch';0.0909;pcs.;19644.625;1.256;19645.881;Success: Converted: 15.7 pcs × 25.000 kg/pc = 392.50 kg
Peikko Deutschland GmbH;15210000;PSB Modified, PSB-12/165-2/240(60/120/60);14.0;kg;Schiebetür 30 / 30E / 30T / 30ET / 30L / 30 LT / 60 / 60L;'Komponenten von Fenstern und Vorhangfassaden' / 'Türen und Tore' / 'Aluminium';0.0889;pcs.;6358.814;1.12;6359.934;Success: Converted: 14.0 pcs × 1.000 kg/pc = 14.00 kg
Berger Bau- und Industriebedarf GmbH;36333;PVC Montageplatten 5mm;13.0;kg;Beton der Druckfestigkeitsklasse C16/20;'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Beton';0.0849;m3;1950.0;1.04;1951.04;Success: m³ unit
Berger Bau- und Industriebedarf GmbH;36341;PVC Montageplatten 2mm;11.66;kg;Betonrohr, unbewehrt;'Mineralische Baustoffe' / 'Steine und Elemente' / 'Betonfertigteile und Betonwaren';0.1106;kg;1.457;0.9328;2.3898;Success: kg unit
Berger Bau- und Industriebedarf GmbH;396045;Planschutztaschen DIN A0, 10er-Pack;11.5;kg;RESCLITE PRO MRCR ESC E1DG5 WH;'Gebäudetechnik' / 'Elektro' / 'Beleuchtung';0.0852;pcs.;36.3626;0.92;37.2826;Success: Converted: 11.5 pcs × 1.000 kg/pc = 11.50 kg
Peikko Deutschland GmbH;15210000;PSB Modified, PSB-12/175-2/260(65/130/65);11.1;kg;RESCLITE PRO MRCR ANT ECD WH;'Gebäudetechnik' / 'Elektro' / 'Beleuchtung';0.0802;pcs.;14.3866;0.888;15.2746;Success: Converted: 11.1 pcs × 1.000 kg/pc = 11.10 kg
Adolf Würth GmbH & Co. KG;5929121025961   25;DBL-(W-BS/S)-(A2K)-SW15-5-25-10X80;8.715;kg;Therma? TW56;'Dämmstoffe' / 'Polyurethan-Hartschaum (PU)' / 'PU mit Aluminium';0.0869;qm;9.4666;0.6972;10.1638;Success: Converted: 8.715 m² × 0.01m × 30.0 kg/m³ = 2.61 kg
Peikko Deutschland GmbH;15210000;PSB Modified, PSB-12/165-3/390(65/2x130/65);6.48;kg;Betonzusatzmittel - Fließmittel und Superplasticizer für CO2-optimierten Beton, Gruppe C;'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Betonzusatzmittel';0.0951;kg;5.7474;0.5184;6.2658;Success: kg unit
Peikko Deutschland GmbH;15210000;PSB Modified, PSB-12/165-3/360(60/120/120/60);5.25;kg;1.3.02. Mauerziegel (mit Polystyrol gefüllt);'Mineralische Baustoffe' / 'Steine und Elemente' / 'Ziegel';0.0933;m3;1492.2523;0.42;1492.6723;Success: m³ unit
Stark Deutschland GmbH;597405;PP Bogen 30 Gr. grün OD 200 mm EN 14758-1;5.202;kg;Superflor II, genadelte Teppichfliesen mit einem Nutzschichtgewicht von 521 g/m2 und einer CQuest Bio Rückenbeschichtung;'Kunststoffe' / 'Bodenbeläge' / 'Textile Bodenbeläge';0.0841;qm;186.1946;0.4162;186.6107;Success: Converted: 5.202 m² × 0.01m × 586.0 kg/m³ = 30.48 kg
Adolf Würth GmbH & Co. KG;005712 45 005  100;SHR-6KT-DIN933-8.8-SW19-(A2K)-M12X45;4.987;kg;Beton C30/37 XC4 XF1 XA1 F3 16 M ECOPact, Rezept Nummer DA5234-DSMK Version 1, Transportbetonwerk Trier, Germany;'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Beton';0.0873;m3;888.7146;0.399;889.1135;Success: m³ unit
Stark Deutschland GmbH;488220;RAPTOR BigBag - flex. Großsäcke !Z 100x100x100 cm SWL 1500 kg;4.8;kg;Holcim Ferro 4 N Siloware Werk Beckum;'Mineralische Baustoffe' / 'Bindemittel' / 'Zement';0.0964;kg;2497.028;0.384;2497.412;Success: kg unit
Adolf Würth GmbH & Co. KG;5929126025961  100;DBL-(W-BS/S)-(A2K)-SW13-5-25-6X60;4.076;kg;Baufritz GaBi HOIZ Hobelspandämmung NA;'Dämmstoffe' / 'Holzfasern' / 'Holzfasern und Holzspäne, lose';0.0779;m3;0.0;0.3261;0.3261;Success: m³ unit
Adolf Würth GmbH & Co. KG;005712 80 005   50;SHR-6KT-DIN933-8.8-SW19-(A2K)-M12X80;3.81;kg;Beschichtungspulver IGP-DURA@xal 4201;'Beschichtungen' / 'Lacke und Lasuren' / 'Lacksysteme Metall';0.0849;kg;16.5343;0.3048;16.8391;Success: kg unit
Adolf Würth GmbH & Co. KG;5929128055961   50;BETSHR-(W-BS/S)-(A2K)-SW13-35-55-8X100;2.595;kg;Beton C25/30 XC4 XF1 XA1 F3 16 M ECOPact, Rezept Nummer DA4234-DNZK Version 1, Transportbetonwerk Brüggen Bracht, Germany;'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Beton';0.0855;m3;390.9949;0.2076;391.2025;Success: m³ unit
Adolf Würth GmbH & Co. KG;005712 100005   25;SHR-6KT-DIN933-8.8-SW19-(A2K)-M12X100;2.288975;kg;TOPIQ Prime ? Tegular (Pontarlier);'Mineralische Baustoffe' / 'Steine und Elemente' / 'Deckenplatten';0.083;qm;12.2635;0.1831;12.4466;Success: Converted: 2.288975 m² × 0.01m × 110.0 kg/m³ = 2.52 kg
Peikko Deutschland GmbH;15210000;PSB Modified, PSB-12/165-2/260(65/1x130/65);2.16;kg;Rolltore und Rollgitter - Hörmann KG Dissen - Rolltore aus Stahl oder Aluminium;'Komponenten von Fenstern und Vorhangfassaden' / 'Türen und Tore' / 'Stahl';0.1008;qm;1.5124;0.1728;1.6852;Success: Converted: 2.16 m² × 0.01m = 0.022 m³
Adolf Würth GmbH & Co. KG;5929126025961  100;BETSHR-(W-BS/S)-(A2K)-SW13-5-25-6X60;2.038;kg;TRM-Tiroler Rohre Pfahl aus duktilem Gusseisen Typ 118 - 9.0;'Metalle' / 'Stahl und Eisen' / 'Guss- und Schmiedeteile aus Stahl und Eisen';0.0719;m;48.3006;0.163;48.4636;Success: Converted: 2.038 m × 1.000 kg/m = 2.04 kg
Adolf Würth GmbH & Co. KG;5929126015961  100;DBL-(W-BS/S)-(A2K)-SW13-10-15-6X50;1.9076;kg;Massive Gips-Wandbauplatte nach DIN EN 12859 / Tool;'Mineralische Baustoffe' / 'Steine und Elemente' / 'Gipsplatten';0.0813;qm;302.0768;0.1526;302.2294;Success: Converted: 1.9076 m² × 0.01m × 850.0 kg/m³ = 16.21 kg
Adolf Würth GmbH & Co. KG;041110 40 005  100;SHB-KOTFLG-TOLDIN522-(A2K)-10,5X40X2;1.8608;kg;Sandwich-Elemente mit beidseitiger Stahldeckschicht und einem Kern aus Polyurethan;'Dämmstoffe' / 'Polyurethan-Hartschaum (PU)' / 'PU Blockschaum';0.0907;qm;0.6343;0.1489;0.7832;Success: Converted: 1.8608 m² × 0.01m = 0.019 m³
Adolf Würth GmbH & Co. KG;041112 40 005  100;SHB-KOTFLG-TOLDIN522-(A2K)-13,0X40X2,0;1.7942;kg;Holcim Duo 3 N LH/SR/NA Siloware Werk Lägerdorf;'Mineralische Baustoffe' / 'Bindemittel' / 'Zement';0.0854;kg;749.865;0.1435;750.0085;Success: kg unit
Adolf Würth GmbH & Co. KG;5929121025961   25;BETSHR-(W-BS/S)-(A2K)-SW15-5-25-10X80;1.7711;kg;Kabetragsystem - OBO Bettermann - Kabelrinnensystem;'Gebäudetechnik' / 'Elektro' / 'Kabel';0.0856;m;144.0259;0.1417;144.1675;Success: Converted: 1.7711 m × 1.000 kg/m = 1.77 kg
Adolf Würth GmbH & Co. KG;0648073045961    1;BO-HAM-PLUS-QL-D30,0-L450-AL400MM;0.911;kg;Tor - EFAFLEX Tor- und Sicherheitssysteme GmbH & Co. KG - Schnelllauf Spiraltor Stahl;'Komponenten von Fenstern und Vorhangfassaden' / 'Türen und Tore' / 'Stahl';0.084;qm;1.2513;0.0729;1.3241;Success: Converted: 0.911 m² × 0.01m = 0.009 m³
Adolf Würth GmbH & Co. KG;0648071016961    2;BO-HAM-PLUS-QL-D10,0-L165-AL100MM;0.459;kg;Betonpflastersteine/-platten (Durchschnittsprodukt) (Baustoffwerk LIMEX-VENUSBERG);'Mineralische Baustoffe' / 'Steine und Elemente' / 'Betonfertigteile und Betonwaren';0.0924;qm;0.1322;0.0367;0.1689;Success: Converted: 0.459 m² × 0.01m = 0.005 m³
Adolf Würth GmbH & Co. KG;0648078011961    2;BO-HAM-PLUS-QL-D8,0-L115-AL50MM;0.178;kg;MAGNA3 D 32-40/60/80/100 F, 40-40/60 F (Gusseisen);'Gebäudetechnik' / 'Heizung' / 'Wärmeverteilung und Abgabe';0.0837;pcs.;148.5872;0.0142;148.6014;Success: Converted: 0.178 pcs × 7.850 kg/pc = 1.40 kg
Stark Deutschland GmbH;1285721;X-FOAM MSP GK, rau 0,033 200 kPa 1250/600/20 mm;0.112;kg;Gipswandbauplatte (100mm);'Mineralische Baustoffe' / 'Steine und Elemente' / 'Gipsplatten';0.0859;qm;0.0264;0.009;0.0354;Success: Converted: 0.112 m² × 0.01m = 0.001 m³
Stark Deutschland GmbH;1393751;Federanker 90x103x22x0,7 mm vz, 100 St/Pkt;0.005;kg;Fassadenfarbe Dispersionsfarbe;'Beschichtungen' / 'Fassadenfarben' / 'Dispersion';0.092;kg;0.0108;0.0004;0.0112;Success: kg unit
BayWa AG;94973;AUSGANGS-FRACHT BAUSTOFFE  ZUSTELLPAUSCHALE;0.0;kg;Silikon-Dichtmasse;'Kunststoffe' / 'Dichtmassen' / 'Silikon';0.0834;kg;0.0;0.0;0.0;Error: Invalid quantity after conversion
BayWa AG;1294809;MAUTGEBUEHR/LOGISTIKZUSCHLAG;0.0;kg;basicDIM Wireless G2;'Gebäudetechnik' / 'Elektro' / 'Beleuchtung';0.0928;pcs.;0.0;0.0;0.0;Error: Invalid quantity after conversion
